node1,node2,distance,color
n00,n01,1,blue
n00,n10,1,blue
n01,n02,1,blue
n01,n11,1,blue
n02,n12,1,blue
n02,n03,1,blue
n03,n04,1,blue
n03,n13,1,blue
n04,n14,1,blue
n10,n11,1,blue
n10,n20,1,blue
n11,n12,1,blue
n11,n21,1,blue
n12,n13,1,blue
n12,n22,1,blue
n13,n14,1,blue
n13,n23,1,blue
n14,n24,1,blue
n20,n21,1,blue
n20,n30,1,blue
n21,n22,1,blue
n21,n31,1,blue
n22,n23,1,blue
n22,n32,1,blue
n23,n24,1,blue
n23,n33,1,blue
n24,n34,1,blue
n30,n31,1,blue
n30,n40,1,blue
n31,n32,1,blue
n31,n41,1,blue
n32,n33,1,blue
n32,n42,1,blue
n33,n34,1,blue
n33,n43,1,blue
n34,n44,1,blue
n40,n41,1,blue
n41,n42,1,blue
n42,n43,1,blue
n43,n44,1,blue
n50,n51,1,blue
n50,n60,1,blue
n51,n52,1,blue
n51,n61,1,blue
n52,n62,1,blue
n52,n53,1,blue
n53,n54,1,blue
n53,n63,1,blue
n54,n64,1,blue
n60,n61,1,blue
n60,n70,1,blue
n61,n62,1,blue
n61,n71,1,blue
n62,n63,1,blue
n62,n72,1,blue
n63,n64,1,blue
n63,n73,1,blue
n64,n74,1,blue
n70,n71,1,blue
n70,n80,1,blue
n71,n72,1,blue
n71,n81,1,blue
n72,n73,1,blue
n72,n82,1,blue
n73,n74,1,blue
n73,n83,1,blue
n74,n84,1,blue
n80,n81,1,blue
n80,n90,1,blue
n81,n82,1,blue
n81,n91,1,blue
n82,n83,1,blue
n82,n92,1,blue
n83,n84,1,blue
n83,n93,1,blue
n84,n94,1,blue
n90,n91,1,blue
n91,n92,1,blue
n92,n93,1,blue
n93,n94,1,blue
n05,n06,1,blue
n05,n15,1,blue
n06,n07,1,blue
n06,n16,1,blue
n07,n17,1,blue
n07,n08,1,blue
n08,n09,1,blue
n08,n18,1,blue
n09,n19,1,blue
n15,n16,1,blue
n15,n25,1,blue
n16,n17,1,blue
n16,n26,1,blue
n17,n18,1,blue
n17,n27,1,blue
n18,n19,1,blue
n18,n28,1,blue
n19,n29,1,blue
n25,n26,1,blue
n25,n35,1,blue
n26,n27,1,blue
n26,n36,1,blue
n27,n28,1,blue
n27,n37,1,blue
n28,n29,1,blue
n28,n38,1,blue
n29,n39,1,blue
n35,n36,1,blue
n35,n45,1,blue
n36,n37,1,blue
n36,n46,1,blue
n37,n38,1,blue
n37,n47,1,blue
n38,n39,1,blue
n38,n48,1,blue
n39,n49,1,blue
n45,n46,1,blue
n46,n47,1,blue
n47,n48,1,blue
n48,n49,1,blue
n55,n56,1,blue
n55,n65,1,blue
n56,n57,1,blue
n56,n66,1,blue
n57,n67,1,blue
n57,n58,1,blue
n58,n59,1,blue
n58,n68,1,blue
n59,n69,1,blue
n65,n66,1,blue
n65,n75,1,blue
n66,n67,1,blue
n66,n76,1,blue
n67,n68,1,blue
n67,n77,1,blue
n68,n69,1,blue
n68,n78,1,blue
n69,n79,1,blue
n75,n76,1,blue
n75,n85,1,blue
n76,n77,1,blue
n76,n86,1,blue
n77,n78,1,blue
n77,n87,1,blue
n78,n79,1,blue
n78,n88,1,blue
n79,n89,1,blue
n85,n86,1,blue
n85,n95,1,blue
n86,n87,1,blue
n86,n96,1,blue
n87,n88,1,blue
n87,n97,1,blue
n88,n89,1,blue
n88,n98,1,blue
n89,n99,1,blue
n95,n96,1,blue
n96,n97,1,blue
n97,n98,1,blue
n98,n99,1,blue
n40,n50,1,blue
n41,n51,1,blue
n42,n52,1,blue
n43,n53,1,blue
n44,n54,1,blue
n45,n55,1,blue
n46,n56,1,blue
n47,n57,1,blue
n48,n58,1,blue
n49,n59,1,blue
n04,n05,1,blue
n14,n15,1,blue
n24,n25,1,blue
n34,n35,1,blue
n44,n45,1,blue
n54,n55,1,blue
n64,n65,1,blue
n74,n75,1,blue
n84,n85,1,blue
n94,n95,1,blue
